Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s),Threads,Gurobi Time(s),Speedup,Problem Type
4,1000,10,4,1653275.0,0.007548501,5,0.255082833,33.792514964229326,Realistic
4,1000,11,6,1651175.0,0.004692791,5,0.244904708,52.18743131752512,Realistic
4,1000,12,5,1632425.0,0.004025166,5,0.250343292,62.19452613879775,Realistic
4,1000,13,6,1685275.0,0.004797167,5,0.165214417,34.43999698155182,Realistic
4,1000,14,6,1620075.0,0.004977917,5,0.215926375,43.37685320988678,Realistic
4,1000,15,6,1628725.0,0.004904416,5,0.137190958,27.97294479098021,Realistic
4,1000,16,5,1624925.0,0.005597876,5,0.12650425,22.598615975059115,Realistic
4,1000,17,4,1627600.0,0.006767542,5,0.238272833,35.20817942467147,Realistic
4,1000,18,1,1651125.0,0.005293416,5,0.203994583,38.53741761463675,Realistic
4,1000,19,5,1630400.0,0.004943583,5,0.169009584,34.18766995517219,Realistic
4,2500,0,1,3411675.0,0.005844834,5,0.141427042,24.196930485964188,Realistic
4,2500,1,6,3509350.0,0.00456775,5,0.209592708,45.8853282250561,Realistic
4,2500,2,5,3425300.0,0.005737126,5,0.132204916,23.043753266008103,Realistic
4,2500,3,2,3413125.0,0.005163958,5,0.22928,44.40005127849607,Realistic
4,2500,4,6,3423675.0,0.004643917,5,0.18071825,38.91504736195759,Realistic
4,2500,5,4,3426425.0,0.006382084,5,0.269409125,42.213346768861086,Realistic
4,2500,6,1,3448775.0,0.00554525,5,0.153756417,27.727589738965783,Realistic
4,2500,7,5,3411675.0,0.0059935,5,0.209062959,34.88161491615917,Realistic
4,2500,8,5,3459925.0,0.007361292,5,0.138944,18.874947495629844,Realistic
4,2500,9,6,3495750.0,0.006246459,5,0.133738792,21.410336960508346,Realistic
4,2500,10,1,3481000.0,0.005843834,5,0.182398667,31.212157463747257,Realistic
4,2500,11,5,3448175.0,0.004492083,5,0.892886375,198.76889518737744,Realistic
4,2500,12,6,3429125.0,0.00505275,5,0.122423375,24.229058433526298,Realistic
4,2500,13,5,3450375.0,0.004542874,5,0.124595,27.426470555863975,Realistic
4,2500,14,6,3396275.0,0.005454625,5,0.123570583,22.654276508467582,Realistic
4,2500,15,6,3400275.0,0.006440417,5,0.625765834,97.16231635311811,Realistic
4,2500,16,4,3475675.0,0.006091625,5,0.286589666,47.04650499661421,Realistic
4,2500,17,1,3380300.0,0.005781917,5,0.152608708,26.394136754297925,Realistic
4,2500,18,6,3475425.0,0.0048375,5,0.16654,34.42687338501292,Realistic
4,2500,19,6,3389975.0,0.004597833,5,0.15058675,32.75167888872867,Realistic
4,5000,0,6,5882750.0,0.004433542,5,1.252733333,282.5581291436959,Realistic
4,5000,1,3,5834400.0,0.00443725,5,0.20840725,46.96766014986759,Realistic
4,5000,2,6,5811500.0,0.005179666,5,0.858481459,165.74069814540164,Realistic
4,5000,3,6,5875500.0,0.005608792,5,2.23436475,398.36826717767394,Realistic
4,5000,4,6,5776825.0,0.00527575,5,2.274474,431.1186087286168,Realistic
4,5000,5,6,5926150.0,0.004776624,5,2.007573167,420.2912280723791,Realistic
4,5000,6,6,5801075.0,0.003779708,5,0.142496667,37.70044326175461,Realistic
4,5000,7,6,5696850.0,0.005255792,5,1.260550208,239.8402006776524,Realistic
4,5000,8,6,5917675.0,0.003959792,5,0.350570875,88.53264893711588,Realistic
4,5000,9,5,5893925.0,0.0057445,5,0.183333375,31.91459221864392,Realistic
4,5000,10,6,5931925.0,0.006835208,5,0.209205083,30.606981235977017,Realistic
4,5000,11,6,5914125.0,0.004372959,5,1.842487,421.3364451850566,Realistic
4,5000,12,4,5841350.0,0.00579925,5,0.407104833,70.19956597835927,Realistic
4,5000,13,6,5862175.0,0.004579666,5,0.196309875,42.86554412483356,Realistic
4,5000,14,5,5918675.0,0.00461175,5,0.976755959,211.79724811622484,Realistic
