Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s),Threads,Optimal Demand,Optimality Gap (%),Problem Type
4,1000,6,6,1642025.0,0.005244375,5,1682725.0,2.4186958653374733,Realistic
4,1000,7,6,1642300.0,0.006301999,5,1700625.0,3.429621462697538,Realistic
4,1000,8,4,1670825.0,0.005754417,5,1700100.0,1.7219575319098877,Realistic
4,1000,9,6,1627250.0,0.005232834,5,1692825.0,3.8737022432915396,Realistic
4,1000,10,4,1653275.0,0.007548501,5,1690575.0,2.2063499105333984,Realistic
4,1000,11,6,1651175.0,0.004692791,5,1687100.0,2.129393634046589,Realistic
4,1000,12,5,1632425.0,0.004025166,5,1684200.0,3.0741598384989905,Realistic
4,1000,13,6,1685275.0,0.004797167,5,1707750.0,1.3160591421460988,Realistic
4,1000,14,6,1620075.0,0.004977917,5,1687100.0,3.9727935510639556,Realistic
4,1000,15,6,1628725.0,0.004904416,5,1686000.0,3.397093712930012,Realistic
4,1000,16,5,1624925.0,0.005597876,5,1689300.0,3.8107500147990288,Realistic
4,1000,17,4,1627600.0,0.006767542,5,1694475.0,3.946650142374482,Realistic
4,1000,18,1,1651125.0,0.005293416,5,1687225.0,2.1396079361081064,Realistic
4,1000,19,5,1630400.0,0.004943583,5,1688575.0,3.4452126793302043,Realistic
4,2500,0,1,3411675.0,0.005844834,5,3557175.0,4.090324485019714,Realistic
4,2500,1,6,3509350.0,0.00456775,5,3596850.0,2.432684154190472,Realistic
4,2500,2,5,3425300.0,0.005737126,5,3550675.0,3.531018749955994,Realistic
4,2500,3,2,3413125.0,0.005163958,5,3563700.0,4.225243426775542,Realistic
4,2500,4,6,3423675.0,0.004643917,5,3566000.0,3.9911665731912507,Realistic
4,2500,5,4,3426425.0,0.006382084,5,3547950.0,3.425217379049874,Realistic
4,2500,6,1,3448775.0,0.00554525,5,3541975.0,2.631300333853288,Realistic
